,Date,User,Tweet
89,2017-12-19 04:52:54+00:00,vijithomasak,@BharatSolankee @INCGujarat Congratulation now we have a very strong opposition in Gujarat.
90,2017-12-18 18:48:16+00:00,Rik_7777,"@BharatSolankee @priyankac19 @INCGujarat Amit shah asked for 150 seats out of 182 in Gujarat.
Gujju people gave him 99 after deducting 28% GST.
182 * 28%= 51, 150-51=99...
Gujarati's are pakke Vepari...😜😜😜😜"
91,2017-12-18 18:34:55+00:00,AnkushJ48752702,@BharatSolankee @INCGujarat Actually unone media power Ko khatm krdia.. #media are in the pockets of# BJP...nd I think they lost their memories.#i m always in support of real development not fake
92,2017-12-18 18:14:13+00:00,princebakul,@BharatSolankee @INCGujarat They won the election but we won the war of breaking their overconfidence
93,2017-12-18 18:00:37+00:00,MissMini18,"@BharatSolankee @priyankac19 @dhaval241086 @Ash_Rokzz23 @OneTipOneHand_ @preeti_chopra2 @arvind_barmer @Suyash75 @IamIconoclast DONT GLORIFY DEFEAT,LOSERS,WONT EVEN SHED CROC TEARS!! https://t.co/kyDFzI7n4I"
94,2017-12-18 17:51:59+00:00,InvestMENA,"@BharatSolankee @INCGujarat You did a wonderful job solanki ji, maintain the spirits."
95,2017-12-18 17:26:41+00:00,ijal_patel,@BharatSolankee @INCGujarat Sir is it just happened to you?? https://t.co/QCqUhNUnJj
96,2017-12-18 17:22:34+00:00,jagrutnaagrik,@BharatSolankee @INCGujarat I appreciate the hard work. Better Luck and better agenda next time.
97,2017-12-18 17:22:20+00:00,jamshi_tsy,@BharatSolankee @INCGujarat we should start work on tomorw of peoples
98,2017-12-18 16:43:21+00:00,rajyagyru,@BharatSolankee @INCGujarat 2019 table will be turn
99,2017-12-18 16:41:25+00:00,alokmili77,"@BharatSolankee @CongressFans @INCGujarat BJP crying on all channels that congress polarised in Gujarat can they tell who spoke RAM vs HAZ,Ram mandir chahiye ya masjid,Pakistan wants to make Ahmed Patel CM of Gujarat,Is RG Hindu,Supari given to kill me etc &amp; so on"
100,2017-12-18 16:21:12+00:00,shashikantamrut,@BharatSolankee sir i am requesting to u please b.j.p ke mla me tod fod kake bhi cong. sarkar banaye
101,2017-12-18 16:02:46+00:00,SushiKu57924755,@BharatSolankee @INCGujarat 100% It's  a defeat to bjp
102,2017-12-18 16:02:13+00:00,Kiransankar93,@BharatSolankee @INCGujarat great effort we will retain in power
103,2017-12-18 15:55:49+00:00,MyLeaderRG_INC,@BharatSolankee Congratulations &amp; Best Wishes for the result of #GujaratElection2017
104,2017-12-18 15:44:50+00:00,shah1171975,"@BharatSolankee @ashokgehlot51 @INCGujarat Bharat bhai we are not defeated by BJP , we loose due to some lacking in our local leadership . But at last you stop them on 99 seat that is major Parivartan . Aaavshe aaavshe aaapdi government next term ma . Vadhare mahenat karishu ."
105,2017-12-18 15:44:18+00:00,ranumini,"@BharatSolankee @INCGujarat CONGRATULATION SIR,THE VOICE OF CONGRESS MUST BE ON AIR OF GUJRAT,SO THAT BJP PM MODI LANDS ON THE GROUND HUMBLY ,NOT FLY IN SEAPLANE ARROGANTLY,2019 TO BE TAKEN WITH MOTTO FOR WIN"
106,2017-12-18 15:35:51+00:00,PrabhuLeel,@BharatSolankee @ashokgehlot51 @INCGujarat Jai jai congress
107,2017-12-18 15:27:54+00:00,ganeshbabuab,@BharatSolankee @INCGujarat Take @SitaramYechury with you. He is good in organising street show. As it is he has nothing to do these days. Visiting China is done. Jobless man now. Pls take him.
108,2017-12-18 15:24:04+00:00,harpaleureca,@BharatSolankee @INCGujarat Knowing the man &amp; the street fighting spirit in him it’s good that he continues to raise the voice of people in the assembly on the streets but no one will entertain this now the election 🗳 is gone
109,2017-12-18 15:09:42+00:00,VakadyaBhau,"@BharatSolankee Yes, it was so grand that #GujratStandsWithModi @priyankac19 😂😂😂😂😂"
110,2017-12-18 15:06:25+00:00,priyanknarain,@BharatSolankee @priyankac19 @INCGujarat I seriously wish leaders like @priyankac19 were promoted in the party. It'll really take something drastic to see a change in the Congress's fortunes. Winning hearts isn't going to be enough.
111,2017-12-18 15:03:37+00:00,ArfathCivil,@BharatSolankee @priyankac19 @INCGujarat Sir where were u ....its just 12 more seat .... hardluck
112,2017-12-18 14:51:47+00:00,RudolphPinto,"@BharatSolankee @priyankac19 @INCGujarat It takes courage to accept the facts and hats off to you ,great work keep it up"
113,2017-12-18 14:28:53+00:00,polysmind,@BharatSolankee @INCGujarat Need to make strategy n grow stronger https://t.co/tkVIohkqRf
114,2017-12-18 14:28:04+00:00,Mehboobp1,@BharatSolankee @INCGujarat Sir congress fought well and this was not a defeat we won double of the seat what we had before
115,2017-12-18 14:27:41+00:00,PeterMankani,"@BharatSolankee @priyankac19 @INCGujarat 3 mistakes cost Congress the Gujarat elections.

1. @OfficeOfRG   going to temples.
2. Mani Shanker Aiyer 
3. No CM face"
116,2017-12-18 14:25:54+00:00,socialraj84,@BharatSolankee @INCGujarat I salute all at @INCGujarat and you sir for your efforts. We definitely have succeeded. From Jul-Aug where INC was written off in Guj to an impressive fight that ends at 80 is nothing but a NavSarjan. The fort walls have been breached and we soon will succeed.
117,2017-12-18 14:25:29+00:00,yvshid01,@BharatSolankee @INCGujarat U guys put up a good fight
118,2017-12-18 14:23:10+00:00,Ahir_Hasu92,"@BharatSolankee ji,strong opposition and voice of rural people. https://t.co/nitoCUyBxq"
119,2017-12-18 14:22:20+00:00,Ravidevt,@BharatSolankee @INCGujarat Great sir 👍
120,2017-12-18 14:21:01+00:00,SafwanINC,@BharatSolankee @INCGujarat Great job Solanki ji. A wonderful fight that was put up by Congress. Wishing you all success in voicing the opinion of the common man and the Farmers of Gujarat. Jai ho!
121,2017-12-18 14:10:46+00:00,DrLuttapi,"@BharatSolankee @priyankac19 @INCGujarat Defeat ? Cong has risen from the ashes. From 42 MLAs to 83 is no mean achievement. A big thanks to all the Gujaratis for the resurgence of @INCIndia &amp; unleashing the power of PM 2019, @OfficeOfRG 😎"
122,2017-12-18 14:06:43+00:00,jesikakennedy,"@BharatSolankee @rachitseth @INCGujarat We are winners sir. Under @OfficeOfRG's leadership, we almost threaten Bjp in gujarat."
123,2017-12-18 14:06:27+00:00,jaydeep_jhala,"@BharatSolankee @priyankac19 @INCGujarat Congress trapped today. Lost but cannot blame the evms. Lol. Nice pic of the symbol though, with  sun going down."
124,2017-12-18 14:01:09+00:00,ManishKolhe,"@BharatSolankee @INCGujarat Feeling bad when you lost opportunity
Now what
Now never
Better to try for corporation"
125,2017-12-18 09:33:13+00:00,zafarkw,"@BharatSolankee sir, please try to start preparing for protest for 20-25  seat, recounting. Congress still can win with VVPAT."
126,2017-12-17 16:46:08+00:00,jignesh_luhar,@BharatSolankee wish you all the best for results tomorrow.. hope truth will prevail..✋👍
127,2017-12-17 13:57:04+00:00,PawanKu86888254,@BharatSolankee @INCIndia @INCGujarat @OfficeOfRG @MahilaCongress @IYC Was you are a great leader ?           But I don't agree
128,2017-12-17 13:26:33+00:00,ChhabraGeeta,"@BharatSolankee @INCGujarat Congress is going to slide down,
Further &amp; Further.
Gandhis brought,
The downfall of Congress."
129,2017-12-17 12:57:10+00:00,NiranjanSolank6,@BharatSolankee @INCIndia @INCGujarat @OfficeOfRG @MahilaCongress @IYC Good job sir.
130,2017-12-17 05:15:48+00:00,SubodhK44327513,@BharatSolankee Only                Bjp
131,2017-12-17 04:28:53+00:00,vibhav977,@BharatSolankee @INCIndia @INCGujarat @OfficeOfRG @MahilaCongress @IYC He will surely loss Gujarat and Himachal and next wud be karnataka .i wonder why a loser is being promoted
132,2017-12-17 03:55:54+00:00,BharatMorad,@BharatSolankee @INCIndia @INCGujarat @OfficeOfRG @MahilaCongress @IYC It's like party b4 shadi
133,2017-12-16 22:51:22+00:00,EnggCAL,"@BharatSolankee @INCIndia Don't forget you're a codify
Corrupt n divisive party! U have ripped Indians for 65yrs by appeasement minority politics n misuse of the power! Thank you but we want #gandhimuktcongress #congressmuktbharat"
134,2017-12-16 19:54:47+00:00,abdul_warsi,@BharatSolankee @INCGujarat sir We Got 105 seat In Gujrat election
135,2017-12-16 17:45:31+00:00,KamlaChauhan3,@BharatSolankee @INCIndia Congratulations Rahul dear may God bless u and enlighten the name of party and nation
136,2017-12-16 17:28:15+00:00,girish12desai,@BharatSolankee in congress party there is no qualified individual to be president? 19 yrs of sonia and 19 yrs of rahul. rest of you r useless cuciumbers?
137,2017-12-16 17:27:19+00:00,girish12desai,@BharatSolankee only positive attitude can bring congress back to power. stop ignoring majority. minority appeasement will not help. suport govt. on right issues. simply opposing will ruin your party. RaGa is not in right direction.
138,2017-12-16 17:25:42+00:00,girish12desai,"@BharatSolankee RaGa and soGa will vanish but your own presige will also go to drains. say what is fair and reasonable. towing high command line to please, will not help u. Look at what happened to Vaghela. say what is reasonable"
139,2017-12-16 16:48:28+00:00,Sharath05969239,@BharatSolankee @INCGujarat @INCIndia @OfficeOfRG @ashokgehlot51 @jitupatwari @shaktisinhgohil @ahmedpatel @arjunmodhwadia @IYC Not even.a single youth in the snap.
140,2017-12-16 15:42:26+00:00,GoluRoy38413445,"@BharatSolankee @INCIndia @INCGujarat @OfficeOfRG @MahilaCongress @IYC Predetermined president 😂😂😂
Even secular like me are not willing to vote for CONGRESS. Atleast bjp give hope and even no big scams"
141,2017-12-16 15:34:01+00:00,BakroliyaMusta2,@BharatSolankee @INCIndia @INCGujarat @OfficeOfRG @MahilaCongress @IYC 123+congress
142,2017-12-16 15:31:44+00:00,andhra1949,"@BharatSolankee @INCIndia @INCGujarat @OfficeOfRG @MahilaCongress @IYC Rahul ji, best wishes on ur elevation.  Manmohan ji's personal integrity was never doubted despite horrid &amp; huge corruption in the 10 years of UPS rule. You owe it to him by naming the traitors who were responsible for the scams &amp; clear his name"
143,2017-12-16 15:23:32+00:00,whathehelll,@BharatSolankee @INCIndia @INCGujarat @OfficeOfRG @MahilaCongress @IYC His leadership! Was he not a senior leader for past decade? During this time @INCIndia has turned from a national party to a regional party. Sometime I feel #RaGa as an agent of @BJP4India. #ragacrowning_inc_drowning
144,2017-12-16 15:16:55+00:00,dabhi_nimesh,@BharatSolankee @INCIndia @INCGujarat @OfficeOfRG @MahilaCongress @IYC See Still u think of only your party and not nation
145,2017-12-16 15:10:52+00:00,Gopal58297591,@BharatSolankee @INCIndia @INCGujarat @OfficeOfRG @MahilaCongress @IYC Thanks
146,2017-12-16 14:30:25+00:00,parvez_amer,@BharatSolankee @INCIndia @INCGujarat @OfficeOfRG @MahilaCongress @IYC Great leader
147,2017-12-16 14:29:31+00:00,parvez_amer,"@BharatSolankee @INCGujarat @INCIndia @OfficeOfRG @ashokgehlot51 @jitupatwari @shaktisinhgohil @ahmedpatel @arjunmodhwadia @IYC Our quotation for you
Win or not"
148,2017-12-16 14:10:41+00:00,RRKunwar,@BharatSolankee @INCIndia @INCGujarat @OfficeOfRG @MahilaCongress @IYC Ya..the most dedicated service was to nurture RG to fail the oldest party of India
149,2017-12-16 13:24:55+00:00,JivanThakor3,@BharatSolankee @KiranThakor_22 @INCIndia @INCGujarat @OfficeOfRG @MahilaCongress @IYC Wel wishes
150,2017-12-16 13:03:29+00:00,Zohaan154,@BharatSolankee @INCGujarat @INCIndia @OfficeOfRG @ashokgehlot51 @jitupatwari @shaktisinhgohil @ahmedpatel @arjunmodhwadia @IYC @shaktisinhgohil should be on his right hand side
